timestamp,tricks
23,Caliroll
26,Triplecork
29,Cartwheel shurikenfulltwist gyro swing through shurikencork gyro
34,Cartwheel mega swing through cartwheel grandmaster switch swing through triple cork
38,Lotus Snapu
41,Aerial front swing Caliroll
44,Aerial front swing raiz gainer switch swing through Double Cork Snapu recovery aerial
48,td raiz shuriken cork double front swing Caliroll
52,td raiz boxcutter double front swing caliroll recovery aerial
58,Triple btwist
63,cartwheel shurikenfull snapu swingthrough boxcutter double gms cartwheel doublefull swingthrough shurikencork snapu 
70,Lotus Snapu
72,Aerial Mega Aerial front swing raiz gainer wrap full cork semi front swing raiz gainer switch triple cork 
82,tdraiz gainer switch triplecork cork gainer switch gainer switch gainer switch triplecork
111,td raiz quadcork
114,td raiz quadcork
119,td raiz triplecork gainerswitch triplecork
123,cartwheel shurikenfull hyperhook frontswing caliroll
129,aerial frontswing cheat720twist triplecork
133,hyper aerial aerial gms semi frontswing snapuswipe
138,hyper aerial aerial semi front swing sideswipe semi frontswing sideswipe semi front swing envergado backside 12 hook cartwheel wrap full dleg punch double full double cork
147,round off flash kick scissor vanish envergado ??? vanish sideswipe gms masterscoot gainerswitch gainerswitch gainerswitch triplecork
158,hyper aerial aerial semi frontswing raiz shuricutter front swing sideswipe wrap fullsnapu
165,td raiz triplecork gainer mega cartwheel fulltwist triple cork
171,td raiz triple cork cork (x7) double cork double cork
195,hyper aerial aerial semi front swing envergado backside 12 vanish raiz gainer mega cartwheel fulltwist doublecork punch halftwist? doublecork
206,cartwheel triple full punch double full triple cork
212,caliroll
215,sideswipe semi front swing caliroll
218,hyper aerial aerial semi front swing raiz mega aerial gms masterscoot double cork double cork
226,flick flack feilong snapu
229,snapuswipe swing through shurkiken cork snapu
232,hyper aerial aerial wrap full semi front swing sideswipe wrap full gainer switch gainer switch gainer switch double cork punch full half double cork punch full half double cork 
240,aerial semi front swing raiz double cork mega cartwheel  fulltwist gainer switch triple cork
248,cheat12 vanish cheat 9 dleg backside 12 hook triple full
258,raiz 7 double front swing cheat7twist shuriken hook tdraiz boxcutter double front swing raiz shuriken cork snapu
264,cheat12 vanish tak10 raiz vanish tak arabian front swing cheat7twist 
269,hyper aerial aerial semi front raiz mega aerial semi front swing cheat7twist 
274,tdraiz triple cork swing through gainer semi front swing raiz gainer switch gainer switch triple cork 
